group,index,label,prediction,baseline_prediction,attr_sum,diff,completeness_error
low,0,0.0,2.8191473484039307,102.94316101074219,-97.58755493164062,-100.12401366233826,2.536458730697632
low,1,0.0,3.0808722972869873,102.94316101074219,-96.69921875,-99.8622887134552,3.1630699634552
low,2,0.07000000029802322,2.907686948776245,102.94316101074219,-96.68333435058594,-100.03547406196594,3.352139711380005
low,3,0.11999999731779099,2.5694544315338135,102.94316101074219,-97.98116302490234,-100.37370657920837,2.3925435543060303
low,4,0.2199999988079071,3.010668992996216,102.94316101074219,-95.93959045410156,-99.93249201774597,3.992901563644409
low,5,0.30000001192092896,2.957512140274048,102.94316101074219,-97.02659606933594,-99.98564887046814,2.959052801132202
low,6,0.3400000035762787,2.9463448524475098,102.94316101074219,-97.15787506103516,-99.99681615829468,2.8389410972595215
medium,0,156.8300018310547,170.01194763183594,102.94316101074219,68.18258666992188,67.06878662109375,1.113800048828125
medium,1,156.86000061035156,157.36964416503906,102.94316101074219,53.977848052978516,54.426483154296875,-0.4486351013183594
medium,2,156.89999389648438,153.33677673339844,102.94316101074219,48.863616943359375,50.39361572265625,-1.529998779296875
medium,3,156.99000549316406,154.97183227539062,102.94316101074219,51.397727966308594,52.02867126464844,-0.6309432983398438
medium,4,157.0399932861328,157.39588928222656,102.94316101074219,53.02623748779297,54.452728271484375,-1.4264907836914062
medium,5,157.25999450683594,171.98680114746094,102.94316101074219,69.25504302978516,69.04364013671875,0.21140289306640625
medium,6,157.33999633789062,161.05006408691406,102.94316101074219,59.20127868652344,58.106903076171875,1.0943756103515625
high,0,1082.6199951171875,1097.7786865234375,102.94316101074219,1005.510986328125,994.8355255126953,10.675460815429688
high,1,1085.4000244140625,1106.4273681640625,102.94316101074219,1018.241455078125,1003.4842071533203,14.757247924804688
high,2,1103.5999755859375,1125.2900390625,102.94316101074219,1017.3896484375,1022.3468780517578,-4.9572296142578125
high,3,1141.780029296875,1098.6546630859375,102.94316101074219,1005.2283935546875,995.7115020751953,9.516891479492188
high,4,1144.1500244140625,1131.7576904296875,102.94316101074219,1030.229248046875,1028.8145294189453,1.4147186279296875
high,5,1188.1700439453125,1215.35302734375,102.94316101074219,1126.1226806640625,1112.4098663330078,13.712814331054688
high,6,1210.8900146484375,1199.3533935546875,102.94316101074219,1103.9232177734375,1096.4102325439453,7.5129852294921875
best,0,3.5799999237060547,3.579805612564087,102.94316101074219,-101.76276397705078,-99.3633553981781,-2.3994085788726807
best,1,2.740000009536743,2.7395894527435303,102.94316101074219,-102.47511291503906,-100.20357155799866,-2.2715413570404053
best,2,32.150001525878906,32.14838790893555,102.94316101074219,-72.21092224121094,-70.79477310180664,-1.4161491394042969
best,3,89.52999877929688,89.53240966796875,102.94316101074219,-14.68364429473877,-13.410751342773438,-1.272892951965332
best,4,343.0899963378906,343.098876953125,102.94316101074219,239.0509033203125,240.1557159423828,-1.1048126220703125
best,5,377.75,377.76129150390625,102.94316101074219,278.04296875,274.81813049316406,3.2248382568359375
best,6,112.94000244140625,112.94851684570312,102.94316101074219,9.418121337890625,10.005355834960938,-0.5872344970703125
worst,0,271.6199951171875,433.82269287109375,102.94316101074219,333.54901123046875,330.87953186035156,2.6694793701171875
worst,1,852.72998046875,692.125732421875,102.94316101074219,592.7835693359375,589.1825714111328,3.6009979248046875
worst,2,825.5999755859375,680.784912109375,102.94316101074219,592.0964965820312,577.8417510986328,14.254745483398438
worst,3,213.57000732421875,342.5220642089844,102.94316101074219,240.59690856933594,239.5789031982422,1.01800537109375
worst,4,680.8800048828125,807.0982666015625,102.94316101074219,709.3099365234375,704.1551055908203,5.1548309326171875
worst,5,799.489990234375,674.55029296875,102.94316101074219,575.44482421875,571.6071319580078,3.8376922607421875
worst,6,821.1500244140625,924.9002075195312,102.94316101074219,819.64892578125,821.9570465087891,-2.3081207275390625
random,0,77.52999877929688,77.13477325439453,102.94316101074219,-25.857093811035156,-25.808387756347656,-0.0487060546875
random,1,389.1600036621094,411.4453430175781,102.94316101074219,307.1250915527344,308.50218200683594,-1.3770904541015625
random,2,98.58999633789062,107.10881042480469,102.94316101074219,4.504578590393066,4.1656494140625,0.3389291763305664
random,3,350.8999938964844,360.76934814453125,102.94316101074219,260.89349365234375,257.82618713378906,3.0673065185546875
random,4,72.58999633789062,69.0532455444336,102.94316101074219,-34.6125373840332,-33.889915466308594,-0.7226219177246094
random,5,590.7000122070312,595.3428955078125,102.94316101074219,498.621337890625,492.3997344970703,6.2216033935546875
random,6,172.75,179.16452026367188,102.94316101074219,80.24524688720703,76.22135925292969,4.023887634277344
