group,index,label,prediction,baseline_prediction,attr_sum,diff,completeness_error
low,0,0.0,34.40296173095703,79.24746704101562,-45.07463073730469,-44.844505310058594,-0.23012542724609375
low,1,0.0,23.166227340698242,79.24746704101562,-57.55654525756836,-56.08123970031738,-1.4753055572509766
low,2,0.07000000029802322,19.95623207092285,79.24746704101562,-61.41059494018555,-59.29123497009277,-2.1193599700927734
low,3,0.11999999731779099,15.71367073059082,79.24746704101562,-66.1453628540039,-63.533796310424805,-2.6115665435791016
low,4,0.2199999988079071,23.6553897857666,79.24746704101562,-57.40473937988281,-55.59207725524902,-1.812662124633789
low,5,0.30000001192092896,27.705514907836914,79.24746704101562,-52.54393005371094,-51.54195213317871,-1.0019779205322266
low,6,0.3400000035762787,26.08539390563965,79.24746704101562,-54.29047393798828,-53.16207313537598,-1.1284008026123047
medium,0,156.8300018310547,163.44189453125,79.24746704101562,81.75233459472656,84.19442749023438,-2.4420928955078125
medium,1,156.86000061035156,166.510986328125,79.24746704101562,85.36869049072266,87.26351928710938,-1.8948287963867188
medium,2,156.89999389648438,163.66162109375,79.24746704101562,83.139404296875,84.41415405273438,-1.274749755859375
medium,3,156.99000549316406,171.93321228027344,79.24746704101562,90.74609375,92.68574523925781,-1.9396514892578125
medium,4,157.0399932861328,161.4915313720703,79.24746704101562,80.53861236572266,82.24406433105469,-1.7054519653320312
medium,5,157.25999450683594,164.2715606689453,79.24746704101562,82.83097076416016,85.02409362792969,-2.1931228637695312
medium,6,157.33999633789062,152.611328125,79.24746704101562,71.88717651367188,73.36386108398438,-1.4766845703125
high,0,1082.6199951171875,1097.8006591796875,79.24746704101562,1011.1813354492188,1018.5531921386719,-7.371856689453125
high,1,1085.4000244140625,1086.6826171875,79.24746704101562,999.102294921875,1007.4351501464844,-8.332855224609375
high,2,1103.5999755859375,1102.170166015625,79.24746704101562,1017.3005981445312,1022.9226989746094,-5.622100830078125
high,3,1141.780029296875,1074.5450439453125,79.24746704101562,986.8863525390625,995.2975769042969,-8.411224365234375
high,4,1144.1500244140625,1120.353759765625,79.24746704101562,1034.8792724609375,1041.1062927246094,-6.227020263671875
high,5,1188.1700439453125,1177.630859375,79.24746704101562,1090.0960693359375,1098.3833923339844,-8.287322998046875
high,6,1210.8900146484375,1204.12744140625,79.24746704101562,1118.5506591796875,1124.8799743652344,-6.329315185546875
best,0,556.8300170898438,556.7815551757812,79.24746704101562,473.7716369628906,477.5340881347656,-3.762451171875
best,1,25.209999084472656,25.172189712524414,79.24746704101562,-55.496116638183594,-54.07527732849121,-1.4208393096923828
best,2,561.22998046875,561.2517700195312,79.24746704101562,480.13543701171875,482.0043029785156,-1.868865966796875
best,3,834.0700073242188,834.0298461914062,79.24746704101562,750.814208984375,754.7823791503906,-3.968170166015625
best,4,733.02001953125,733.0416870117188,79.24746704101562,650.2993774414062,653.7942199707031,-3.494842529296875
best,5,130.8800048828125,130.8122100830078,79.24746704101562,50.376956939697266,51.56474304199219,-1.1877861022949219
best,6,43.880001068115234,43.81239700317383,79.24746704101562,-37.08366012573242,-35.4350700378418,-1.648590087890625
worst,0,852.72998046875,677.0317993164062,79.24746704101562,593.0199584960938,597.7843322753906,-4.764373779296875
worst,1,799.489990234375,629.0145874023438,79.24746704101562,545.5945434570312,549.7671203613281,-4.172576904296875
worst,2,680.8800048828125,822.6976318359375,79.24746704101562,738.8605346679688,743.4501647949219,-4.589630126953125
worst,3,213.57000732421875,350.9195251464844,79.24746704101562,269.3810729980469,271.67205810546875,-2.290985107421875
worst,4,504.29998779296875,370.6154479980469,79.24746704101562,286.2999267578125,291.36798095703125,-5.06805419921875
worst,5,913.2899780273438,790.818359375,79.24746704101562,704.86181640625,711.5708923339844,-6.709075927734375
worst,6,677.5999755859375,555.8841552734375,79.24746704101562,473.9646911621094,476.6366882324219,-2.6719970703125
random,0,77.52999877929688,88.36514282226562,79.24746704101562,7.53314208984375,9.11767578125,-1.58453369140625
random,1,389.1600036621094,413.6441955566406,79.24746704101562,332.17926025390625,334.396728515625,-2.21746826171875
random,2,98.58999633789062,94.06657409667969,79.24746704101562,13.163154602050781,14.819107055664062,-1.6559524536132812
random,3,350.8999938964844,376.4182434082031,79.24746704101562,294.7408447265625,297.1707763671875,-2.429931640625
random,4,72.58999633789062,79.63591003417969,79.24746704101562,-0.7784557342529297,0.3884429931640625,-1.1668987274169922
random,5,590.7000122070312,583.1341552734375,79.24746704101562,501.7808532714844,503.8866882324219,-2.1058349609375
random,6,172.75,193.26185607910156,79.24746704101562,111.06133270263672,114.01438903808594,-2.9530563354492188
