group,index,label,prediction,baseline_prediction,attr_sum,diff,completeness_error
low,0,0.0,11.227834701538086,84.57130432128906,-73.65062713623047,-73.34346961975098,-0.3071575164794922
low,1,0.0,10.440550804138184,84.57130432128906,-73.00659942626953,-74.13075351715088,1.1241540908813477
low,2,0.07000000029802322,9.741498947143555,84.57130432128906,-74.19585418701172,-74.82980537414551,0.6339511871337891
low,3,0.11999999731779099,9.384737014770508,84.57130432128906,-75.24215698242188,-75.18656730651855,-0.05558967590332031
low,4,0.2199999988079071,10.13900375366211,84.57130432128906,-74.41754150390625,-74.43230056762695,0.014759063720703125
low,5,0.30000001192092896,10.781228065490723,84.57130432128906,-73.78289794921875,-73.79007625579834,0.007178306579589844
low,6,0.3400000035762787,10.419612884521484,84.57130432128906,-73.90738677978516,-74.15169143676758,0.24430465698242188
medium,0,156.8300018310547,158.56686401367188,84.57130432128906,62.53107833862305,73.99555969238281,-11.464481353759766
medium,1,156.86000061035156,167.2746124267578,84.57130432128906,77.20628356933594,82.70330810546875,-5.4970245361328125
medium,2,156.89999389648438,141.3434295654297,84.57130432128906,55.950347900390625,56.772125244140625,-0.82177734375
medium,3,156.99000549316406,149.35670471191406,84.57130432128906,58.357242584228516,64.785400390625,-6.428157806396484
medium,4,157.0399932861328,139.3177490234375,84.57130432128906,51.12513732910156,54.74644470214844,-3.621307373046875
medium,5,157.25999450683594,150.0892333984375,84.57130432128906,59.779815673828125,65.51792907714844,-5.7381134033203125
medium,6,157.33999633789062,155.37054443359375,84.57130432128906,65.78961944580078,70.79924011230469,-5.009620666503906
high,0,1082.6199951171875,1078.893798828125,84.57130432128906,951.27001953125,994.3224945068359,-43.05247497558594
high,1,1085.4000244140625,1075.6038818359375,84.57130432128906,941.9156494140625,991.0325775146484,-49.11692810058594
high,2,1103.5999755859375,1093.9482421875,84.57130432128906,979.9417724609375,1009.3769378662109,-29.435165405273438
high,3,1141.780029296875,993.0011596679688,84.57130432128906,860.9009399414062,908.4298553466797,-47.52891540527344
high,4,1144.1500244140625,1094.37451171875,84.57130432128906,973.7660522460938,1009.8032073974609,-36.03715515136719
high,5,1188.1700439453125,1112.554443359375,84.57130432128906,978.6917724609375,1027.983139038086,-49.29136657714844
high,6,1210.8900146484375,1123.9129638671875,84.57130432128906,1005.7938842773438,1039.3416595458984,-33.54777526855469
best,0,24.360000610351562,24.36666488647461,84.57130432128906,-60.358848571777344,-60.20463943481445,-0.15420913696289062
best,1,121.37999725341797,121.39338684082031,84.57130432128906,32.45890808105469,36.82208251953125,-4.3631744384765625
best,2,47.849998474121094,47.86246109008789,84.57130432128906,-36.8067741394043,-36.70884323120117,-0.097930908203125
best,3,37.77000045776367,37.75899124145508,84.57130432128906,-46.36396789550781,-46.812313079833984,0.4483451843261719
best,4,18.34000015258789,18.33307647705078,84.57130432128906,-66.44611358642578,-66.23822784423828,-0.2078857421875
best,5,101.95999908447266,101.98637390136719,84.57130432128906,16.777118682861328,17.415069580078125,-0.6379508972167969
best,6,31.739999771118164,31.715431213378906,84.57130432128906,-52.94260787963867,-52.855873107910156,-0.08673477172851562
worst,0,852.72998046875,639.3491821289062,84.57130432128906,531.0722045898438,554.7778778076172,-23.705673217773438
worst,1,799.489990234375,627.4345092773438,84.57130432128906,523.1434326171875,542.8632049560547,-19.719772338867188
worst,2,1056.31005859375,891.0466918945312,84.57130432128906,766.184326171875,806.4753875732422,-40.29106140136719
worst,3,271.6199951171875,435.2043151855469,84.57130432128906,335.8385009765625,350.6330108642578,-14.794509887695312
worst,4,825.5999755859375,665.1284790039062,84.57130432128906,536.1204223632812,580.5571746826172,-44.43675231933594
worst,5,504.29998779296875,346.0982666015625,84.57130432128906,234.68698120117188,261.52696228027344,-26.839981079101562
worst,6,213.57000732421875,365.85504150390625,84.57130432128906,274.3208312988281,281.2837371826172,-6.9629058837890625
random,0,77.52999877929688,86.27415466308594,84.57130432128906,-0.9735090732574463,1.702850341796875,-2.6763594150543213
random,1,389.1600036621094,421.5357666015625,84.57130432128906,332.7294006347656,336.96446228027344,-4.2350616455078125
random,2,98.58999633789062,91.41376495361328,84.57130432128906,6.357795238494873,6.842460632324219,-0.4846653938293457
random,3,350.8999938964844,367.78485107421875,84.57130432128906,274.8722229003906,283.2135467529297,-8.341323852539062
random,4,72.58999633789062,68.80355834960938,84.57130432128906,-15.839996337890625,-15.767745971679688,-0.0722503662109375
random,5,590.7000122070312,581.4282836914062,84.57130432128906,493.2686462402344,496.8569793701172,-3.5883331298828125
random,6,172.75,192.44586181640625,84.57130432128906,94.03746032714844,107.87455749511719,-13.83709716796875
